YearsCodePro,ConvertedCompYearly
1.0,7322.0
6.0,30074.0
6.0,91295.0
17.0,53703.0
7.0,110000.0
18.0,161044.0
25.0,121018.0
30.0,195000.0
20.0,44586.0
50.0,57999.0
27.0,184712.0
16.0,79481.0
17.0,170000.0
1.0,29000.0
4.0,66592.0
30.0,85925.0
15.0,124840.0
4.0,50000.0
11.0,230000.0
23.0,85000.0
18.0,160000.0
23.0,110000.0
18.0,190000.0
17.0,161783.0
10.0,146496.0
1.0,12773.0
10.0,69814.0
10.0,115000.0
9.0,64570.0
7.0,101896.0
18.0,300000.0
11.0,52122.0
8.0,54777.0
24.0,254425.0
15.0,27926.0
27.0,107406.0
12.0,37297.0
11.0,85925.0
26.0,140000.0
9.0,213840.0
7.0,4833.0
40.0,200000.0
4.0,93000.0
14.0,67227.0
10.0,144998.0
16.0,59073.0
17.0,119943.0
9.0,100000.0
7.0,14142.0
22.0,102000.0
15.0,123654.0
1.0,650.0
20.0,42962.0
11.0,170000.0
5.0,42962.0
1.0,136000.0
28.0,48333.0
3.0,3000.0
44.0,167125.0
25.0,53703.0
42.0,46185.0
13.0,79218.0
20.0,175000.0
10.0,650000.0
16.0,85925.0
10.0,31200.0
11.0,55851.0
25.0,130000.0
10.0,90221.0
13.0,150000.0
19.0,400000.0
4.0,13160.0
9.0,160000.0
13.0,2411.0
7.0,118147.0
17.0,50340.0
3.0,49681.0
9.0,100000.0
10.0,16532.0
15.0,100000.0
22.0,220000.0
2.0,494.0
13.0,220000.0
11.0,10630.0
22.0,250000.0
12.0,218079.0
35.0,140000.0
20.0,180000.0
26.0,42962.0
10.0,75159.0
25.0,150000.0
9.0,104458.0
5.0,65000.0
15.0,100000.0
7.0,47259.0
31.0,150000.0
11.0,150000.0
12.0,96666.0
10.0,150000.0
7.0,432000.0
8.0,1740.0
41.0,152865.0
2.0,3021.0
25.0,29000.0
2.0,163.0
10.0,67516.0
36.0,64444.0
20.0,185000.0
7.0,88019.0
24.0,55000.0
10.0,85925.0
11.0,91295.0
5.0,5982.0
12.0,67666.0
11.0,178343.0
6.0,63370.0
14.0,85350.0
3.0,120000.0
20.0,97740.0
7.0,205000.0
11.0,93980.0
9.0,100000.0
6.0,128129.0
12.0,44037.0
1.0,101000.0
24.0,300000.0
30.0,161109.0
14.0,89147.0
10.0,90221.0
10.0,86999.0
17.0,190000.0
30.0,37592.0
30.0,53703.0
11.0,150369.0
1.0,10955.0
6.0,53703.0
17.0,161109.0
24.0,32222.0
11.0,47854.0
5.0,118000.0
20.0,150000.0
2.0,87250.0
5.0,55851.0
22.0,42962.0
35.0,295662.0
6.0,56925.0
8.0,91295.0
18.0,56022.0
10.0,124000.0
4.0,10070.0
11.0,91295.0
40.0,120000.0
1.0,44037.0
7.0,85925.0
26.0,6230.0
2.0,4937.0
17.0,139628.0
5.0,181732.0
10.0,205000.0
20.0,250000.0
20.0,250000.0
20.0,12000.0
7.0,50915.0
6.0,69814.0
18.0,49681.0
13.0,32222.0
5.0,257000.0
13.0,163000.0
9.0,70584.0
15.0,200000.0
38.0,107406.0
12.0,74239.0
4.0,9571.0
5.0,66592.0
20.0,57325.0
23.0,56051.0
10.0,27926.0
25.0,214812.0
7.0,105000.0
38.0,49233.0
18.0,43435.0
6.0,48000.0
12.0,70000.0
25.0,150000.0
13.0,127388.0
31.0,53703.0
12.0,91295.0
15.0,122124.0
14.0,80555.0
10.0,149746.0
26.0,402000.0
9.0,137136.0
14.0,80555.0
17.0,175000.0
1.0,39520.0
14.0,68535.0
2.0,120000.0
11.0,114649.0
12.0,80000.0
20.0,120000.0
11.0,128887.0
27.0,84851.0
20.0,87231.0
12.0,93047.0
4.0,64762.0
13.0,163000.0
7.0,78621.0
4.0,64444.0
8.0,85925.0
10.0,84076.0
15.0,83777.0
17.0,72000.0
2.0,35032.0
3.0,150000.0
12.0,123578.0
18.0,161109.0
5.0,15600.0
8.0,46185.0
23.0,63694.0
3.0,73885.0
25.0,145000.0
2.0,92000.0
32.0,80254.0
28.0,118106.0
11.0,200000.0
18.0,32222.0
4.0,110000.0
34.0,76307.0
10.0,72600.0
9.0,161109.0
10.0,215000.0
6.0,145000.0
4.0,41872.0
10.0,3040.0
15.0,1000000.0
10.0,195000.0
38.0,165000.0
10.0,36518.0
8.0,75332.0
5.0,12921.0
8.0,24000.0
10.0,127000.0
2.0,98000.0
24.0,53703.0
8.0,175000.0
6.0,159000.0
14.0,155000.0
7.0,127388.0
27.0,76433.0
12.0,211000.0
3.0,15536.0
18.0,327118.0
9.0,257695.0
24.0,71962.0
22.0,54777.0
8.0,100381.0
25.0,80555.0
